डॉ. भीमराव अंबेडकर का जन्म किस तिथि को हुआ था?,14 अप्रैल 1891,15 अगस्त 1905,26 जनवरी 1910,2 अक्टूबर 1920,a
अंबेडकर को उच्च शिक्षा के लिए किस देश भेजा गया था?,अमेरिका,इंग्लैंड,फ्रांस,जर्मनी,a
'जाति का उच्छेद' किसका प्रसिद्ध भाषण है?,महात्मा गांधी,सुभाष चंद्र बोस,भीमराव अंबेडकर,राजेंद्र प्रसाद,c
भीमराव अंबेडकर को भारतीय संविधान सभा में क्या भूमिका मिली?,संविधान के निर्माता,प्रधानमंत्री,राष्ट्रपति,सामाजिक कार्यकर्ता,a
डॉ. अंबेडकर किस धर्म के अनुयायी बने थे?,बौद्ध धर्म,जैन धर्म,सिख धर्म,इस्लाम,a
भारत के संविधान के निर्माण में प्रमुख योगदान किसका था?,जवाहरलाल नेहरू,महात्मा गांधी,सरदार पटेल,भीमराव अंबेडकर,d
अंबेडकर ने किस पुस्तक में जातिवाद की कड़ी आलोचना की?,एनीहिलेशन ऑफ कास्ट,हिंद स्वराज,गीता रहस्य,भारत एक खोज,a
14 अप्रैल को किस महापुरुष का जन्मदिन मनाया जाता है?,लाल बहादुर शास्त्री,भीमराव अंबेडकर,जवाहरलाल नेहरू,सुभाष चंद्र बोस,b
किस ग्रंथ में डॉ. अंबेडकर ने बौद्ध धर्म पर प्रकाश डाला?,बुद्ध और उनका धम्म,गीता रहस्य,कुरान,रामायण,a
अंबेडकर की प्रारंभिक शिक्षा किस राज्य में हुई?,महाराष्ट्र,गुजरात,उत्तर प्रदेश,राजस्थान,a
डॉ. अंबेडकर किस वर्ग के अधिकारों के लिए संघर्षरत थे?,दलित,ब्राह्मण,राजपूत,वैश्य,a
डॉ. अंबेडकर ने संविधान निर्माण के दौरान किस सिद्धांत को बढ़ावा दिया?,समानता,अहिंसा,धर्मनिरपेक्षता,सत्याग्रह,a
भीमराव अंबेडकर की प्रमुख शिक्षा क्या थी?,समानता और न्याय,धर्म और आध्यात्म,राष्ट्रीय एकता,अहिंसा और सत्य,a
'बुद्ध और उनका धम्म' किसके द्वारा लिखी गई पुस्तक है?,महात्मा गांधी,रवींद्रनाथ टैगोर,भीमराव अंबेडकर,सुभाष चंद्र बोस,c
डॉ. अंबेडकर ने किस वर्ष में बौद्ध धर्म ग्रहण किया?,1956,1948,1960,1936,a
अंबेडकर का निधन किस वर्ष हुआ?,1956,1947,1961,1932,a
भीमराव अंबेडकर ने किस विश्वविद्यालय से कानून की पढ़ाई की?,कोलंबिया विश्वविद्यालय,ऑक्सफोर्ड विश्वविद्यालय,हार्वर्ड विश्वविद्यालय,स्टैनफोर्ड विश्वविद्यालय,a
भारत के संविधान के निर्माता के रूप में डॉ. अंबेडकर को किस नाम से जाना जाता है?,संविधान के जनक,संविधान के आलोचक,संविधान के लेखक,संविधान के संरक्षक,a
डॉ. अंबेडकर की किस रचना में जाति प्रथा का विरोध किया गया है?,जाति का उच्छेद,भारत का भविष्य,स्वराज का अर्थ,नया समाज,a
कौन से नेता ने भारतीय संविधान के निर्माण में सबसे महत्वपूर्ण भूमिका निभाई?,भीमराव अंबेडकर,महात्मा गांधी,जवाहरलाल नेहरू,सरदार पटेल,a
question,option a,option b,option c,option d,answer option
भीमराव अंबेडकर का जन्म किस स्थान पर हुआ था?,महू,नागपुर,पुणे,मुंबई,a
अंबेडकर ने भारत के किस सामाजिक मुद्दे पर सबसे अधिक ध्यान दिया?,जाति प्रथा,शिक्षा,स्वास्थ्य,वित्तीय सुधार,a
डॉ. अंबेडकर की उच्च शिक्षा किस राज्य के सहयोग से संभव हो सकी?,बड़ौदा राज्य,ग्वालियर राज्य,इंदौर राज्य,राजस्थान राज्य,a
डॉ. अंबेडकर को किसने उच्च शिक्षा के लिए प्रोत्साहित किया था?,बड़ौदा के महाराजा,महात्मा गांधी,जवाहरलाल नेहरू,रवींद्रनाथ टैगोर,a
अंबेडकर को किस भाषा और शास्त्र का गहन अध्ययन करने का अवसर मिला?,संस्कृत और वेद,तमिल और संगम साहित्य,पंजाबी और गुरुबाणी,अरबी और कुरान,a
भीमराव अंबेडकर ने किस परंपरागत सामाजिक व्यवस्था का विरोध किया?,जाति प्रथा,महिला अधिकार,बाल विवाह,धार्मिक सुधार,a
डॉ. अंबेडकर ने दलितों के अधिकारों के लिए किस सिद्धांत को अपनाया?,समानता,धर्मनिरपेक्षता,अहिंसा,शिक्षा,a
अंबेडकर ने किस देश से अपनी पीएचडी पूरी की?,अमेरिका,इंग्लैंड,फ्रांस,जर्मनी,a
अंबेडकर की शिक्षा पर किस राज्य के महाराजा का सहयोग था?,बड़ौदा,महाराष्ट्र,राजस्थान,बिहार,a
अंबेडकर ने किस प्रकार की सामाजिक असमानता के खिलाफ संघर्ष किया?,जातिगत,आर्थिक,धार्मिक,राजनीतिक,a
अंबेडकर को किस संविधानिक सभा में सदस्य के रूप में चुना गया था?,भारत,इंग्लैंड,अमेरिका,जर्मनी,a
अंबेडकर ने किस वर्ष भारत के संविधान का प्रारूप प्रस्तुत किया?,1947,1950,1945,1951,a
डॉ. अंबेडकर ने किसकी वकालत की कि समाज का श्रम विभाजन स्वाभाविक नहीं है?,जाति व्यवस्था,नारी शिक्षा,धार्मिक सुधार,स्वतंत्रता आंदोलन,a
अंबेडकर के अनुसार किस सामाजिक संरचना ने भारतीय समाज को विकृत किया है?,जाति प्रथा,धर्म,आर्थिक विषमता,नारी अशिक्षा,a
डॉ. अंबेडकर ने संविधान सभा में किस समूह के अधिकारों की रक्षा के लिए कार्य किया?,दलित,ब्राह्मण,राजपूत,पारसी,a
अंबेडकर के सामाजिक सुधार कार्यक्रमों में किसकी सबसे बड़ी भूमिका थी?,जातिगत भेदभाव का अंत,धार्मिक सुधार,शिक्षा सुधार,स्वतंत्रता संग्राम में भागीदारी,a
अंबेडकर ने किस पुस्तक में सामाजिक व्यवस्था की आलोचना की?,जाति का उच्छेद,भारतीय समाज,बुद्ध और धम्म,समानता का सिद्धांत,a
अंबेडकर के अनुसार किसने भारत में सामाजिक असमानता को जन्म दिया?,हिंदू धर्म की जाति व्यवस्था,विदेशी आक्रमण,धार्मिक कट्टरता,आर्थिक नीतियां,a
डॉ. अंबेडकर ने भारतीय समाज में किसके खिलाफ सामाजिक संघर्ष किया?,अस्पृश्यता,शिक्षा,स्वास्थ्य,आर्थिक असमानता,a
डॉ. अंबेडकर ने किस प्रकार की सामाजिक विषमता को खत्म करने की कोशिश की?,जातिगत भेदभाव,आर्थिक असमानता,धार्मिक असमानता,सामुदायिक संघर्ष,a

